TicketID,CreationDate,ResolutionDate,AffectedVersions
"SYNCOPE-1980","2026-06-25T01:15:08.000+0000","2026-06-25T10:43:23.000+0000","5.0.0"
"SYNCOPE-1977","2026-06-17T14:57:34.000+0000","2026-06-18T14:58:20.000+0000","4.0.6;4.1.1"
"SYNCOPE-1972","2026-06-08T09:22:43.000+0000","2026-06-09T06:56:13.000+0000","4.1.1"
"SYNCOPE-1970","2026-05-28T12:48:39.000+0000","2026-06-26T09:56:39.000+0000","3.0.16;4.0.6;4.1.1"
"SYNCOPE-1965","2026-04-24T10:35:46.000+0000","2026-04-27T07:33:13.000+0000","4.1.0"
"SYNCOPE-1963","2026-04-20T15:38:28.000+0000","2026-04-21T08:37:29.000+0000","4.1.0"
"SYNCOPE-1962","2026-04-15T13:24:55.000+0000","2026-04-15T15:06:28.000+0000","4.1.0;4.1.1"
"SYNCOPE-1960","2026-04-07T15:57:09.000+0000","2026-04-08T10:01:15.000+0000","4.0.5;4.1.0"
"SYNCOPE-1959","2026-04-03T13:12:23.000+0000","2026-04-03T18:24:33.000+0000","4.1.0"
"SYNCOPE-1957","2026-03-26T15:17:02.000+0000","2026-03-27T18:49:50.000+0000","4.0.4;4.1.0-M0"
"SYNCOPE-1956","2026-03-20T10:24:12.000+0000","2026-03-20T17:36:49.000+0000","4.0.4;4.0.5"
"SYNCOPE-1945","2026-01-22T09:41:47.000+0000","2026-03-27T15:06:32.000+0000","4.0.3;4.0.4"
"SYNCOPE-1944","2026-01-15T11:58:13.000+0000","2026-01-15T16:23:46.000+0000","3.0.15;4.0.3"
"SYNCOPE-1943","2026-01-15T10:58:35.000+0000","2026-01-16T08:26:03.000+0000","3.0.15;4.0.3"
"SYNCOPE-1942","2025-12-30T09:13:20.000+0000","2026-01-19T10:50:13.000+0000","4.0.0-M1;4.0.0;4.0.1;4.0.2;4.0.3"
"SYNCOPE-1937","2025-12-05T13:58:41.000+0000","2025-12-06T06:36:42.000+0000","3.0.15;4.0.3"
"SYNCOPE-1936","2025-12-01T15:28:06.000+0000","2025-12-03T06:33:48.000+0000","3.0.15;4.0.3"
"SYNCOPE-1933","2025-11-26T12:12:40.000+0000","2025-11-26T13:46:25.000+0000","3.0.15;4.0.3"
"SYNCOPE-1928","2025-11-05T10:15:16.000+0000","2025-11-07T12:06:44.000+0000","3.0.14;4.0.2"
"SYNCOPE-1925","2025-10-29T11:51:02.000+0000","2025-10-30T08:01:54.000+0000","3.0.14;4.0.2"
"SYNCOPE-1924","2025-10-27T14:54:55.000+0000","2025-10-28T07:29:24.000+0000","3.0.14;4.0.2"
"SYNCOPE-1921","2025-10-21T10:44:39.000+0000","2026-04-27T09:53:24.000+0000","3.0.12"
"SYNCOPE-1919","2025-09-30T14:48:25.000+0000","2025-10-01T11:27:23.000+0000","4.0.1"
"SYNCOPE-1915","2025-09-23T12:22:18.000+0000","2025-09-23T12:24:06.000+0000","4.0.1"
"SYNCOPE-1913","2025-09-17T08:51:46.000+0000","2025-09-17T10:39:55.000+0000","4.0.1;4.0.2"
"SYNCOPE-1912","2025-09-12T08:40:15.000+0000","2025-09-15T10:33:09.000+0000","3.0.13;4.0.1"
"SYNCOPE-1911","2025-09-11T09:58:17.000+0000","2025-09-19T10:27:36.000+0000","3.0.13;4.0.1"
"SYNCOPE-1910","2025-09-10T07:49:23.000+0000","2025-09-10T09:17:18.000+0000","4.0.1"
"SYNCOPE-1905","2025-08-12T15:27:55.000+0000","2025-08-13T09:33:22.000+0000","4.0.1"
"SYNCOPE-1904","2025-08-06T07:27:26.000+0000","2025-08-06T09:53:27.000+0000","3.0.12;4.0.0"
"SYNCOPE-1902","2025-08-05T09:38:49.000+0000","2025-08-05T11:09:10.000+0000","3.0.12;4.0.0"
"SYNCOPE-1899","2025-07-29T06:49:57.000+0000","2025-07-29T07:07:09.000+0000","4.0.0"
"SYNCOPE-1896","2025-07-23T09:07:17.000+0000","2025-07-23T10:03:21.000+0000","3.0.12;4.0.0"
"SYNCOPE-1895","2025-07-21T10:19:02.000+0000","2025-08-01T12:35:16.000+0000","3.0.12;4.0.0"
"SYNCOPE-1891","2025-07-03T10:16:56.000+0000","2025-07-03T13:20:46.000+0000","3.0.12;4.0.0"
"SYNCOPE-1890","2025-06-30T07:13:22.000+0000","2025-07-01T09:55:07.000+0000","4.0.0"
"SYNCOPE-1888","2025-05-28T09:37:21.000+0000","2025-05-28T10:43:18.000+0000","3.0.12;4.0.0"
"SYNCOPE-1884","2025-05-19T10:35:00.000+0000","2025-05-19T12:34:47.000+0000","3.0.11;4.0.0-M1"
"SYNCOPE-1883","2025-05-14T14:22:47.000+0000","2025-05-15T10:36:09.000+0000","3.0.11;4.0.0-M1"
