Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java",2,0,6,144,0,3,122,101,100,101,35,333,2613,237,2,No
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java",6,0,18,364,0,3,311,275,258,275,35,333,2613,237,1,No
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java",2,0,9,199,0,3,150,99,101,99,47,366,2656,237,2,No
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java",5,0,17,254,0,3,216,187,178,187,35,333,2613,237,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java",0,1,0,128,0,3,80,21,32,21,52,394,2743,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/annotation/SchemaList.java",0,0,0,112,0,3,70,21,28,21,47,340,2315,383,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java",3,0,3,239,0,3,142,35,45,35,57,376,2424,822,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/SyncopeConstants.java",0,0,0,144,0,4,88,21,32,21,59,403,2750,383,1,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java",1,0,2,245,0,4,139,35,33,35,65,405,2471,822,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java",2,0,2,127,0,4,101,74,75,74,42,330,2613,198,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java",35,1,42,419,0,4,335,149,251,149,48,404,2865,738,0,No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java",11,1,12,141,0,3,114,71,87,71,41,394,2843,738,0,No
