Project,Release,ClassName,Bugginess
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSRootDseServlet.java",No
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/ApacheDSStartStopListener.java",No
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/H2StartStopListener.java",No
SYNCOPE,1,"build-tools/src/main/java/org/apache/syncope/buildtools/JarSchemaLdifExtractor.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/annotation/SchemaList.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/SyncopeConstants.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/MembershipMod.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/ReferenceMod.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/RoleMod.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/mod/UserMod.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/report/ReportletConf.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/search/AttributeCond.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/search/MembershipCond.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/search/NodeCond.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/search/ResourceCond.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/search/SyncopeUserCond.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/AttributeTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/LoggerTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/MembershipTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/NotificationTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/PolicyTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/PropagationTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ReportTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/ResourceTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/RoleTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SchedTaskTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SchemaMappingTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SchemaTO.java",No
SYNCOPE,1,"client/src/main/java/org/apache/syncope/client/to/SyncPolicyTO.java",No
