Metrica,Media A,Media B+,Media C,Media B (sintetico),Pearson r (NSmells),Pearson p (NSmells),Spearman rho (NSmells),Spearman p (NSmells),Pearson r (Bugginess),Pearson p (Bugginess),Spearman rho (Bugginess),Spearman p (Bugginess)
NOM,6.536,8.211,5.516,8.211,0.285*,1.221e-298,0.258*,2.799e-243,0.175*,1.372e-110,0.192*,2.464e-133
FanOut,4.360,6.960,2.776,6.960,0.442*,0,0.308*,0,0.325*,0,0.259*,1.023e-244
CyclomaticComplexity,13.653,22.446,8.298,22.446,0.530*,0,0.438*,0,0.265*,2.931e-257,0.230*,4.386e-192
LOCTouched,20.166,34.990,11.140,34.990,0.097*,3.318e-35,0.148*,1.729e-79,0.013,0.09685,0.061*,7.433e-15
NFix,0.622,1.119,0.320,1.119,0.242*,4.429e-212,0.285*,4.687e-297,0.128*,2.715e-59,0.102*,3.441e-38
NAuth,4.175,4.594,3.921,4.594,0.188*,2.762e-127,0.178*,6.585e-115,0.165*,7.904e-98,0.151*,4.413e-82
LOCAdded,12.352,21.312,6.896,21.312,0.104*,1.454e-39,0.150*,2.658e-81,0.013,0.09026,0.060*,3.785e-14
MaxLOCAdded,5.329,8.229,3.564,8.229,0.103*,1.962e-39,0.150*,7.139e-82,0.008,0.3289,0.060*,2.315e-14
Churn,4.538,7.635,2.653,7.635,0.112*,9.423e-46,0.057*,6.905e-13,0.011,0.1537,0.009,0.2385
MaxChurn,3.916,6.455,2.370,6.455,0.092*,1.372e-31,0.122*,2.643e-54,0.004,0.6366,0.039*,1.021e-06
NS,1.999,2.504,1.692,2.504,0.044*,2.863e-08,0.146*,2.482e-77,-0.004,0.6171,0.061*,1.222e-14
ND,14.634,17.150,13.102,17.150,0.029*,0.0002824,0.146*,8.941e-77,-0.013,0.111,0.061*,1.083e-14
ChangeSetSize,89.820,99.582,83.876,99.582,0.016*,0.04875,0.145*,1.659e-76,-0.023*,0.003198,0.060*,4.127e-14
Age,924.905,846.672,972.539,846.672,-0.053*,1.753e-11,-0.122*,4.422e-54,-0.037*,3.129e-06,-0.032*,3.924e-05
NSmells,1.161,3.067,0.000,0.000,,,,,0.149*,6.058e-80,0.141*,2.09e-72
