@relation dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
2,0,6,144,0,3,122,101,100,101,35,333,2613,237,2,No
6,0,18,364,0,3,311,275,258,275,35,333,2613,237,1,No
2,0,9,199,0,3,150,99,101,99,47,366,2656,237,2,No
5,0,17,254,0,3,216,187,178,187,35,333,2613,237,1,No
0,1,0,128,0,3,80,21,32,21,52,394,2743,383,0,No
0,0,0,112,0,3,70,21,28,21,47,340,2315,383,0,No
3,0,3,239,0,3,142,35,45,35,57,376,2424,822,0,No
0,0,0,144,0,4,88,21,32,21,59,403,2750,383,1,No
1,0,2,245,0,4,139,35,33,35,65,405,2471,822,0,No
2,0,2,127,0,4,101,74,75,74,42,330,2613,198,0,No
35,1,42,419,0,4,335,149,251,149,48,404,2865,738,0,No
11,1,12,141,0,3,114,71,87,71,41,394,2843,738,0,No
11,0,12,268,0,3,175,35,82,35,63,457,2940,822,2,No
2,1,2,281,0,3,163,35,45,35,67,476,2679,822,2,No
21,0,32,311,0,3,227,58,143,58,60,476,3009,758,0,No
13,0,17,168,0,4,133,52,98,52,45,407,2865,738,0,No
2,1,2,176,0,3,111,34,46,34,47,385,2461,383,0,No
1,0,1,100,0,3,66,44,32,44,36,319,2339,177,0,No
12,1,14,110,0,1,106,98,102,98,17,161,1304,152,0,No
10,3,10,156,0,3,134,109,112,109,33,299,2284,177,0,No
7,1,11,123,0,3,104,70,85,70,34,329,2608,669,0,No
5,1,6,287,0,3,172,35,57,35,63,397,2490,822,1,No
25,1,52,342,0,3,276,147,210,147,44,369,2671,669,1,No
3,1,3,243,0,3,142,35,41,35,56,404,2439,822,0,No
