@relation dataset_Bplus-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
6,0,18,364,0,3,311,275,258,275,35,333,2613,237,1,No
5,0,17,254,0,3,216,187,178,187,35,333,2613,237,1,No
0,0,0,144,0,4,88,21,32,21,59,403,2750,383,1,No
5,1,6,287,0,3,172,35,57,35,63,397,2490,822,1,No
25,1,52,342,0,3,276,147,210,147,44,369,2671,669,1,No
0,0,0,134,0,3,84,15,34,14,42,355,2409,783,1,No
8,0,8,240,0,4,153,35,66,35,59,374,2387,822,1,No
29,0,39,751,0,3,482,104,213,104,94,585,3245,789,1,No
18,1,24,225,0,3,188,147,151,147,41,347,2665,285,1,No
1,0,1,129,0,3,83,16,37,14,40,347,2401,783,1,No
15,1,17,277,0,4,192,35,107,35,63,451,2859,822,1,No
7,1,8,244,0,3,155,35,66,35,66,478,2910,822,1,No
2,0,3,69,0,1,69,69,69,69,8,85,782,109,1,No
3,0,6,613,0,3,356,67,99,67,124,843,3740,767,1,No
1,1,8,391,0,3,237,69,83,69,46,410,2951,646,1,No
6,2,11,173,0,3,142,93,111,93,38,353,2724,542,1,No
1,7,3,146,0,3,106,59,66,59,42,381,2846,452,1,No
7,0,12,114,0,3,93,50,72,50,39,343,2710,382,1,No
8,2,28,375,0,1,279,226,183,226,19,165,1300,164,1,No
2,6,7,601,0,3,360,167,119,167,70,505,3259,382,1,No
2,3,2,104,0,3,77,47,50,47,37,347,2759,452,1,No
3,5,11,565,0,3,342,121,119,121,61,457,3290,758,1,No
10,5,18,1155,0,3,733,251,311,223,81,560,3407,731,1,No
0,2,0,114,0,4,81,25,48,25,34,291,2295,781,1,No
2,5,2,2492,0,3,1294,413,96,413,76,541,3406,731,1,No
2,5,5,4661,0,3,2391,437,121,413,107,670,3800,731,1,No
3,5,11,260,0,3,187,106,114,106,47,397,2960,452,1,No
10,13,22,869,0,4,566,309,263,309,61,483,3151,339,1,No
7,10,11,543,0,4,389,270,235,270,37,345,2734,177,1,No
5,5,15,469,0,3,332,217,195,217,45,412,2910,291,1,No
1,5,1,238,0,3,174,135,110,135,38,360,2765,268,1,No
6,6,11,412,0,3,303,217,194,217,43,408,2880,291,1,No
0,0,0,444,0,4,239,42,34,35,65,435,2846,822,1,No
11,6,21,703,0,5,452,93,201,93,92,565,3288,758,1,No
0,0,0,127,0,3,79,15,31,14,40,355,2422,783,1,No
1,1,10,181,0,3,137,86,93,86,37,350,2713,269,1,No
1,0,1,273,0,3,158,35,43,35,63,447,2772,822,1,No
