@relation dataset_C-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
0,1,0,128,0,3,80,21,32,21,52,394,2743,383,0,No
0,0,0,112,0,3,70,21,28,21,47,340,2315,383,0,No
3,0,3,239,0,3,142,35,45,35,57,376,2424,822,0,No
1,0,2,245,0,4,139,35,33,35,65,405,2471,822,0,No
2,0,2,127,0,4,101,74,75,74,42,330,2613,198,0,No
35,1,42,419,0,4,335,149,251,149,48,404,2865,738,0,No
11,1,12,141,0,3,114,71,87,71,41,394,2843,738,0,No
21,0,32,311,0,3,227,58,143,58,60,476,3009,758,0,No
13,0,17,168,0,4,133,52,98,52,45,407,2865,738,0,No
2,1,2,176,0,3,111,34,46,34,47,385,2461,383,0,No
1,0,1,100,0,3,66,44,32,44,36,319,2339,177,0,No
12,1,14,110,0,1,106,98,102,98,17,161,1304,152,0,No
10,3,10,156,0,3,134,109,112,109,33,299,2284,177,0,No
7,1,11,123,0,3,104,70,85,70,34,329,2608,669,0,No
3,1,3,243,0,3,142,35,41,35,56,404,2439,822,0,No
16,0,20,744,0,3,442,104,140,104,96,578,3179,789,0,No
10,1,14,213,0,3,149,77,85,77,42,396,2800,660,0,No
2,2,2,273,0,3,161,35,49,35,72,521,3060,822,0,No
4,1,4,220,0,3,133,35,46,35,57,411,2514,822,0,No
12,2,12,189,0,3,140,82,91,82,41,349,2440,760,0,No
19,3,25,317,0,3,234,70,151,70,70,486,2954,762,0,No
5,1,7,109,0,3,91,62,73,62,34,322,2599,198,0,No
4,1,4,168,0,3,106,61,44,61,42,333,2315,779,0,No
4,2,4,227,0,3,137,35,47,35,56,410,2464,822,0,No
24,4,27,183,0,4,168,104,153,104,37,331,2332,279,0,No
14,1,15,129,0,3,117,100,105,100,28,290,2276,272,0,No
2,2,2,273,0,3,161,35,49,35,72,521,3060,822,0,No
5,2,5,287,0,3,170,35,53,35,67,469,2623,822,0,No
8,2,8,155,0,4,140,121,125,121,28,265,2172,174,0,No
14,2,14,228,0,3,163,106,98,106,52,433,2900,660,0,No
3,1,3,114,0,3,77,21,40,21,40,326,2305,383,0,No
24,2,32,225,0,3,197,97,169,97,44,373,2750,177,0,No
36,4,36,371,0,3,303,58,235,58,84,571,3168,758,0,No
25,0,31,335,0,3,256,81,177,81,69,487,3033,751,0,No
8,0,12,290,0,3,182,35,74,35,72,500,3005,822,0,No
14,2,14,391,0,3,253,149,115,149,43,373,2421,767,0,No
20,2,21,420,0,4,277,67,134,67,102,605,3146,822,0,No
2,2,2,273,0,3,161,35,49,35,72,521,3060,822,0,No
16,0,16,226,0,3,165,86,104,86,53,388,2446,383,0,No
2,0,2,192,0,3,113,77,34,77,37,342,2372,660,0,No
12,1,16,287,0,3,194,106,101,106,46,349,2385,660,0,No
10,3,13,112,0,3,98,69,84,69,32,297,2279,269,0,No
2,1,2,220,0,3,127,35,34,35,59,396,2455,822,0,No
4,1,4,124,0,3,85,34,46,34,35,320,2272,383,0,No
20,2,21,159,0,3,146,92,133,92,30,284,2223,285,0,No
10,11,52,667,0,5,533,353,399,353,53,388,2764,265,0,No
7,1,13,144,0,3,120,72,96,72,33,328,2615,767,0,No
8,1,8,131,0,3,103,59,75,59,32,299,2259,767,0,No
20,1,24,307,0,3,241,131,175,124,57,460,2707,783,0,No
0,0,0,105,0,3,66,15,27,14,38,335,2388,783,0,No
5,3,9,112,0,1,105,98,98,98,12,102,808,136,0,No
0,0,0,109,0,3,70,15,31,14,45,363,2466,783,0,No
1,0,1,147,0,3,92,17,37,16,48,352,2409,783,0,No
0,0,0,133,0,3,84,14,35,14,47,362,2456,783,0,No
48,1,52,403,0,4,378,267,353,267,43,355,2393,352,0,No
1,0,1,139,0,3,94,15,49,14,51,415,2577,783,0,No
0,0,0,98,0,3,62,15,26,14,36,324,2363,783,0,No
0,0,0,100,0,3,63,15,26,14,44,402,2871,783,0,No
1,0,2,130,0,3,86,14,42,14,54,387,2477,783,0,No
0,0,0,124,0,3,76,14,28,14,39,344,2418,783,0,No
0,0,0,114,0,3,71,14,28,14,39,344,2418,783,0,No
4,1,6,228,0,4,145,29,62,24,63,501,3082,783,0,No
2,0,9,95,0,3,80,60,65,60,31,294,2223,185,0,No
1,0,1,123,0,3,79,14,35,14,47,408,2583,783,0,No
0,0,0,120,0,3,80,17,40,16,46,349,2406,783,0,No
0,0,0,109,0,3,68,21,27,21,47,358,2348,383,0,No
0,0,0,95,0,3,62,21,29,21,39,314,2267,383,0,No
0,0,0,105,0,3,62,14,19,14,36,324,2363,783,0,No
6,12,16,886,0,4,530,75,174,68,78,583,3407,783,0,No
11,1,13,262,0,5,187,42,112,42,48,401,2696,783,0,No
0,0,0,348,0,3,221,29,94,15,77,558,3409,783,0,No
7,2,16,235,0,2,200,157,165,157,21,172,1328,164,0,No
2,0,2,153,0,3,98,34,43,34,38,336,2321,383,0,No
2,0,3,226,0,3,133,35,40,35,52,383,2466,822,0,No
2,0,7,138,0,3,102,52,66,52,38,345,2685,502,0,No
2,2,5,127,0,3,102,75,77,75,35,340,2699,500,0,No
4,3,8,153,0,3,124,91,95,91,37,355,2726,275,0,No
2,0,8,300,0,3,201,128,102,128,33,328,2662,611,0,No
1,1,1,154,0,3,104,14,54,14,56,471,3232,783,0,No
2,7,4,170,0,3,130,98,90,98,32,321,2637,177,0,No
0,0,0,101,0,3,71,15,41,14,45,405,2910,783,0,No
0,0,0,112,0,3,72,21,32,21,51,393,2784,383,0,No
0,0,0,71,0,3,52,16,33,16,29,280,2268,783,0,No
0,3,0,133,0,4,101,67,69,67,39,369,2802,272,0,No
0,2,0,165,0,3,105,47,45,47,40,338,2499,452,0,No
3,2,3,102,0,1,86,76,70,76,23,187,1394,164,0,No
1,2,1,543,0,4,301,167,59,167,62,475,3159,382,0,No
2,6,3,512,0,3,312,132,112,132,69,493,3128,382,0,No
11,9,16,2208,0,4,1208,151,208,133,110,688,3855,783,0,No
2,3,2,142,0,3,102,47,62,47,36,338,2724,452,0,No
0,3,0,158,0,3,120,81,82,81,32,321,2637,177,0,No
