Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,client/src/main/java/org/apache/syncope/annotation/FormAttributeField.java,0,1,0,128,0,3,80,21,32,21,52,394,2743,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/annotation/SchemaList.java,0,0,0,112,0,3,70,21,28,21,47,340,2315,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/AbstractBaseBean.java,3,0,3,239,0,3,142,35,45,35,57,376,2424,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/http/HttpClientParams.java,1,0,2,245,0,4,139,35,33,35,65,405,2471,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/http/PreemptiveAuthHttpRequestFactory.java,2,0,2,127,0,4,101,74,75,74,42,330,2613,198,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/mod/AbstractAttributableMod.java,35,1,42,419,0,4,335,149,251,149,48,404,2865,738,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/mod/AttributeMod.java,11,1,12,141,0,3,114,71,87,71,41,394,2843,738,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/mod/RoleMod.java,21,0,32,311,0,3,227,58,143,58,60,476,3009,758,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/mod/UserMod.java,13,0,17,168,0,4,133,52,98,52,45,407,2865,738,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/report/AbstractReportletConf.java,2,1,2,176,0,3,111,34,46,34,47,385,2461,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/report/ReportletConf.java,1,0,1,100,0,3,66,44,32,44,36,319,2339,177,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/report/StaticReportletConf.java,12,1,14,110,0,1,106,98,102,98,17,161,1304,152,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/report/UserReportletConf.java,10,3,10,156,0,3,134,109,112,109,33,299,2284,177,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/search/AttributeCond.java,7,1,11,123,0,3,104,70,85,70,34,329,2608,669,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/search/ResourceCond.java,3,1,3,243,0,3,142,35,41,35,56,404,2439,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/AbstractAttributableTO.java,16,0,20,744,0,3,442,104,140,104,96,578,3179,789,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/AbstractExecTO.java,10,1,14,213,0,3,149,77,85,77,42,396,2800,660,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/AccountPolicyTO.java,2,2,2,273,0,3,161,35,49,35,72,521,3060,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ConfigurationTO.java,4,1,4,220,0,3,133,35,46,35,57,411,2514,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ConnBundleTO.java,12,2,12,189,0,3,140,82,91,82,41,349,2440,760,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ConnInstanceTO.java,19,3,25,317,0,3,234,70,151,70,70,486,2954,762,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ConnObjectTO.java,5,1,7,109,0,3,91,62,73,62,34,322,2599,198,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/DerivedSchemaTO.java,4,1,4,168,0,3,106,61,44,61,42,333,2315,779,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/LoggerTO.java,4,2,4,227,0,3,137,35,47,35,56,410,2464,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/NotificationTO.java,24,4,27,183,0,4,168,104,153,104,37,331,2332,279,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/NotificationTaskTO.java,14,1,15,129,0,3,117,100,105,100,28,290,2276,272,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/PasswordPolicyTO.java,2,2,2,273,0,3,161,35,49,35,72,521,3060,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/PolicyTO.java,5,2,5,287,0,3,170,35,53,35,67,469,2623,822,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/PropagationTO.java,8,2,8,155,0,4,140,121,125,121,28,265,2172,174,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/PropagationTaskTO.java,14,2,14,228,0,3,163,106,98,106,52,433,2900,660,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ReportExecTO.java,3,1,3,114,0,3,77,21,40,21,40,326,2305,383,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ReportTO.java,24,2,32,225,0,3,197,97,169,97,44,373,2750,177,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/ResourceTO.java,36,4,36,371,0,3,303,58,235,58,84,571,3168,758,0,No
SYNCOPE,1,client/src/main/java/org/apache/syncope/client/to/RoleTO.java,25,0,31,335,0,3,256,81,177,81,69,487,3033,751,0,No
