Rank,ClassName,LOC,CyclomaticComplexity,SubstantialMethods,SubstantialMethodsSimpleParamsOnly,UsesEnumParam,NSmells
1,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/DefaultJobManager.java",382,39,3,3,false,16
2,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/InboundMatcher.java",445,65,4,0,false,11
3,"core/idrepo/logic/src/main/java/org/apache/syncope/core/logic/CommandLogic.java",107,12,3,1,false,6
4,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultConnIdBundleManager.java",207,31,2,0,false,6
5,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultConnectorManager.java",201,17,2,0,false,4
6,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/notification/AbstractNotificationJobDelegate.java",208,27,2,1,false,4
7,"core/am/logic/src/main/java/org/apache/syncope/core/logic/wa/MfaTrusStorageLogic.java",109,16,2,0,false,3
8,"core/idrepo/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/AbstractAnyService.java",303,40,5,2,true,3
9,"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPARealmDAO.java",217,34,4,0,false,3
10,"core/workflow-java/src/main/java/org/apache/syncope/core/workflow/java/AbstractUserWorkflowAdapter.java",388,58,3,1,false,3
11,"core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/entity/policy/PolicyUtilsFactory.java",64,22,2,0,false,2
12,"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/task/JPATaskUtilsFactory.java",72,19,3,1,true,2
13,"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/Neo4jRealmDAO.java",213,33,4,0,false,2
14,"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jTaskUtilsFactory.java",72,19,3,1,true,2
15,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/AccessTokenDataBinderImpl.java",166,12,2,0,false,2
16,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/GroupDataBinderImpl.java",281,25,3,0,false,2
17,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/LDAPMembershipPullActions.java",170,11,2,0,false,2
18,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/OutboundMatcher.java",220,26,3,0,false,2
19,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/PushResultHandlerDispatcher.java",62,7,2,0,false,2
20,"core/spring/src/main/java/org/apache/syncope/core/spring/security/DefaultEncryptor.java",147,16,3,3,true,2
21,"core/idm/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/ReconciliationServiceImpl.java",120,18,4,0,false,1
22,"core/idrepo/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/SyncopeServiceImpl.java",159,14,2,1,false,1
23,"core/idrepo/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/TaskServiceImpl.java",91,14,3,1,false,1
24,"core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/entity/PlainAttr.java",179,31,2,0,false,1
25,"core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/utils/FormatUtils.java",117,19,4,4,false,1
26,"core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAPolicyDAO.java",216,39,3,0,false,1
27,"core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/repo/UserRepoExtImpl.java",442,41,4,1,false,1
28,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/DefaultUserProvisioningManager.java",346,29,7,1,false,1
29,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/NotificationDataBinderImpl.java",143,12,2,0,false,1
30,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/RealmDataBinderImpl.java",316,27,3,0,false,1
31,"core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/UserDataBinderImpl.java",520,49,3,0,false,1
