"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.syncope.core.logic.wa","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\am\logic\src\main\java\org\apache\syncope\core\logic\wa\MfaTrusStorageLogic.java","3","62","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"2","org.apache.syncope.core.logic.wa","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\am\logic\src\main\java\org\apache\syncope\core\logic\wa\MfaTrusStorageLogic.java","3","66","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"3","org.apache.syncope.core.logic.wa","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\am\logic\src\main\java\org\apache\syncope\core\logic\wa\MfaTrusStorageLogic.java","3","70","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"1","org.apache.syncope.core.rest.cxf.service","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idm\rest-cxf\src\main\java\org\apache\syncope\core\rest\cxf\service\ReconciliationServiceImpl.java","2","90","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.logic","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\logic\src\main\java\org\apache\syncope\core\logic\CommandLogic.java","3","100","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"2","org.apache.syncope.core.logic","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\logic\src\main\java\org\apache\syncope\core\logic\CommandLogic.java","3","120","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"3","org.apache.syncope.core.logic","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\logic\src\main\java\org\apache\syncope\core\logic\CommandLogic.java","2","130","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.logic","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\logic\src\main\java\org\apache\syncope\core\logic\CommandLogic.java","3","134","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"5","org.apache.syncope.core.logic","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\logic\src\main\java\org\apache\syncope\core\logic\CommandLogic.java","2","143","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.logic","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\logic\src\main\java\org\apache\syncope\core\logic\CommandLogic.java","3","147","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","org.apache.syncope.core.rest.cxf.service","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\rest-cxf\src\main\java\org\apache\syncope\core\rest\cxf\service\AbstractAnyService.java","4","62","The type parameter name 'TO' doesn't match '[A-Z]'","Code Style","TypeParameterNamingConventions"
"2","org.apache.syncope.core.rest.cxf.service","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\rest-cxf\src\main\java\org\apache\syncope\core\rest\cxf\service\AbstractAnyService.java","4","62","The type parameter name 'CR' doesn't match '[A-Z]'","Code Style","TypeParameterNamingConventions"
"3","org.apache.syncope.core.rest.cxf.service","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\rest-cxf\src\main\java\org\apache\syncope\core\rest\cxf\service\AbstractAnyService.java","4","62","The type parameter name 'UR' doesn't match '[A-Z]'","Code Style","TypeParameterNamingConventions"
"1","org.apache.syncope.core.rest.cxf.service","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\rest-cxf\src\main\java\org\apache\syncope\core\rest\cxf\service\SyncopeServiceImpl.java","3","143","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","org.apache.syncope.core.rest.cxf.service","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\idrepo\rest-cxf\src\main\java\org\apache\syncope\core\rest\cxf\service\TaskServiceImpl.java","3","126","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","org.apache.syncope.core.persistence.api.entity","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\PlainAttr.java","3","166","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.syncope.core.persistence.api.entity.policy","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\policy\PolicyUtilsFactory.java","2","33","Class contains multiple getInstance methods. Please review.","Error Prone","SingleMethodSingleton"
"2","org.apache.syncope.core.persistence.api.entity.policy","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\entity\policy\PolicyUtilsFactory.java","2","35","getInstance method always creates a new object and hence does not comply to Singleton Design Pattern behaviour. Please review","Error Prone","SingletonClassReturningNewInstance"
"1","org.apache.syncope.core.persistence.api.utils","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-api\src\main\java\org\apache\syncope\core\persistence\api\utils\FormatUtils.java","3","110","Avoid empty catch blocks","Error Prone","EmptyCatchBlock"
"1","org.apache.syncope.core.persistence.jpa.dao","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-jpa\src\main\java\org\apache\syncope\core\persistence\jpa\dao\JPAPolicyDAO.java","2","138","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.persistence.jpa.dao","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-jpa\src\main\java\org\apache\syncope\core\persistence\jpa\dao\JPARealmDAO.java","4","119","Useless parentheses around `policy instanceof AccountPolicy && child.getAcc...`.","Code Style","UselessParentheses"
"2","org.apache.syncope.core.persistence.jpa.dao","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-jpa\src\main\java\org\apache\syncope\core\persistence\jpa\dao\JPARealmDAO.java","4","121","Useless parentheses around `policy instanceof PasswordPolicy && child.getPa...`.","Code Style","UselessParentheses"
"3","org.apache.syncope.core.persistence.jpa.dao","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-jpa\src\main\java\org\apache\syncope\core\persistence\jpa\dao\JPARealmDAO.java","2","226","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.persistence.jpa.entity.task","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-jpa\src\main\java\org\apache\syncope\core\persistence\jpa\entity\task\JPATaskUtilsFactory.java","2","44","Class contains multiple getInstance methods. Please review.","Error Prone","SingleMethodSingleton"
"2","org.apache.syncope.core.persistence.jpa.entity.task","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-jpa\src\main\java\org\apache\syncope\core\persistence\jpa\entity\task\JPATaskUtilsFactory.java","2","49","getInstance method always creates a new object and hence does not comply to Singleton Design Pattern behaviour. Please review","Error Prone","SingletonClassReturningNewInstance"
"1","org.apache.syncope.core.persistence.neo4j.dao","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-neo4j\src\main\java\org\apache\syncope\core\persistence\neo4j\dao\Neo4jRealmDAO.java","4","131","Useless parentheses around `policy instanceof AccountPolicy && child.getAcc...`.","Code Style","UselessParentheses"
"2","org.apache.syncope.core.persistence.neo4j.dao","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-neo4j\src\main\java\org\apache\syncope\core\persistence\neo4j\dao\Neo4jRealmDAO.java","4","133","Useless parentheses around `policy instanceof PasswordPolicy && child.getPa...`.","Code Style","UselessParentheses"
"1","org.apache.syncope.core.persistence.neo4j.dao.repo","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-neo4j\src\main\java\org\apache\syncope\core\persistence\neo4j\dao\repo\UserRepoExtImpl.java","3","470","This if statement can be replaced by `return !{condition} && {elseBranch};`","Design","SimplifyBooleanReturns"
"1","org.apache.syncope.core.persistence.neo4j.entity.task","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-neo4j\src\main\java\org\apache\syncope\core\persistence\neo4j\entity\task\Neo4jTaskUtilsFactory.java","2","44","Class contains multiple getInstance methods. Please review.","Error Prone","SingleMethodSingleton"
"2","org.apache.syncope.core.persistence.neo4j.entity.task","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\persistence-neo4j\src\main\java\org\apache\syncope\core\persistence\neo4j\entity\task\Neo4jTaskUtilsFactory.java","2","49","getInstance method always creates a new object and hence does not comply to Singleton Design Pattern behaviour. Please review","Error Prone","SingletonClassReturningNewInstance"
"1","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnIdBundleManager.java","2","73","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnIdBundleManager.java","2","75","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
