Configurazione,Classificatore,NumeroRun,Precision_Yes_media,Precision_Yes_devstd,Recall_Yes_media,Recall_Yes_devstd,F1_Yes_media,F1_Yes_devstd,AUC_media,AUC_devstd,Kappa_media,Kappa_devstd
Baseline,IBk,100,0.5709,0.0449,0.5226,0.0491,0.5446,0.0407,0.7808,0.0219,0.5142,0.0431
Baseline,NaiveBayes,100,0.2327,0.0354,0.2810,0.0524,0.2538,0.0395,0.7638,0.0210,0.1962,0.0420
Baseline,RandomForest,100,0.7126,0.0495,0.4452,0.0471,0.5467,0.0439,0.8858,0.0196,0.5227,0.0454
FS + Balancing,IBk,100,0.2522,0.0213,0.6095,0.0455,0.3565,0.0275,0.8299,0.0205,0.2906,0.0308
FS + Balancing,NaiveBayes,100,0.2028,0.0189,0.4432,0.0466,0.2780,0.0261,0.7632,0.0207,0.2067,0.0286
FS + Balancing,RandomForest,100,0.2516,0.0217,0.6033,0.0469,0.3549,0.0282,0.8159,0.0229,0.2890,0.0315
Solo Balancing,IBk,100,0.4417,0.0359,0.5557,0.0493,0.4916,0.0376,0.7785,0.0276,0.4515,0.0405
Solo Balancing,NaiveBayes,100,0.2017,0.0244,0.3604,0.0636,0.2576,0.0319,0.7626,0.0210,0.1896,0.0341
Solo Balancing,RandomForest,100,0.4830,0.0370,0.5328,0.0460,0.5060,0.0365,0.8826,0.0189,0.4695,0.0391
Solo FS,IBk,100,0.6853,0.0634,0.3849,0.0458,0.4917,0.0483,0.8423,0.0180,0.4666,0.0499
Solo FS,NaiveBayes,100,0.2332,0.0307,0.3191,0.0444,0.2692,0.0353,0.7632,0.0208,0.2093,0.0381
Solo FS,RandomForest,100,0.6509,0.0634,0.3952,0.0445,0.4907,0.0474,0.8254,0.0238,0.4642,0.0493
